Transaction_ID,Company_ID,Transaction_Date,Product_Price,Quantity,Total_Cost,Product_ID
1,88.0,2024-03-26,194379.15,,1075200.0,6.0
3,28.0,2024-04-13,126095.55,6.0,940800.0,18.0
4,85.0,2023-09-06,84000.0,12.0,1008000.0,12.0
5,47.0,2021-07-06,99575.61,8.0,705600.0,3.0
6,80.0,2021-07-12,160658.68,4.0,627200.0,11.0
11,6.0,2024-01-12,98263.85,6.0,532000.0,16.0
17,27.0,2022-09-27,85093.64,16.0,1428000.0,12.0
18,57.0,2022-07-10,89600.0,6.0,627200.0,10.0
21,88.0,2024-09-08,210759.8,,392000.0,13.0
24,70.0,2021-05-03,145162.1,19.0,2660000.0,1.0
25,79.0,2023-03-24,102391.23,3.0,190400.0,19.0
26,93.0,2021-09-21,112000.0,,1792000.0,9.0
32,23.0,2022-10-10,158091.29,,151200.0,7.0
33,8.0,2021-10-01,241093.14,10.0,2016000.0,20.0
34,92.0,2024-02-27,141578.71,11.0,1814400.0,8.0
36,71.0,2022-05-19,224000.0,3.0,896000.0,20.0
38,67.0,2024-08-05,184039.02,13.0,2016000.0,2.0
39,20.0,2024-05-22,148830.09,12.0,1820000.0,1.0
43,91.0,2022-10-31,187921.97,13.0,2150400.0,6.0
44,87.0,2021-08-05,196000.0,11.0,1960000.0,13.0
45,36.0,2024-08-26,116233.1,10.0,1008000.0,9.0
47,50.0,2024-03-14,141498.9,11.0,1478400.0,18.0
51,27.0,2024-08-04,169702.41,19.0,3024000.0,2.0
54,19.0,2023-08-24,89600.0,10.0,896000.0,10.0
58,28.0,2024-09-09,184595.1,16.0,2688000.0,2.0
59,54.0,2021-07-19,140359.08,,,1.0
60,94.0,2022-06-09,130046.13,4.0,700000.0,1.0
61,71.0,2021-11-10,161848.41,15.0,2116800.0,7.0
62,30.0,2024-01-01,154604.61,7.0,1008000.0,2.0
63,95.0,2021-08-03,160744.74,16.0,2520000.0,17.0
65,5.0,2022-12-21,170103.5,3.0,504000.0,2.0
68,82.0,2024-09-19,98348.1,5.0,571200.0,19.0
71,48.0,2020-11-16,196000.0,18.0,3332000.0,13.0
74,44.0,2022-05-09,156408.65,5.0,840000.0,17.0
75,51.0,2024-02-12,102820.94,4.0,504000.0,3.0
76,12.0,2023-03-02,175224.47,5.0,1008000.0,2.0
77,17.0,2022-02-26,134913.47,9.0,1232000.0,4.0
78,85.0,2021-11-13,131147.89,,515200.0,14.0
79,66.0,2023-09-14,112998.06,,,4.0
80,91.0,2021-09-10,147779.85,17.0,2284800.0,18.0
81,61.0,2024-05-26,105434.58,10.0,907200.0,15.0
83,67.0,2021-12-24,141571.51,13.0,1674400.0,14.0
88,49.0,2022-11-07,123200.0,5.0,492800.0,4.0
93,41.0,2023-04-04,108901.64,4.0,319200.0,16.0
97,57.0,2023-11-26,206794.28,20.0,3724000.0,13.0
104,7.0,2022-09-22,96246.31,9.0,952000.0,19.0
106,86.0,2022-08-28,163097.19,,2822400.0,11.0
108,77.0,2022-11-06,137641.76,3.0,604800.0,8.0
109,75.0,2024-10-14,105417.36,1.0,100800.0,3.0
111,66.0,2022-08-19,151641.79,10.0,1512000.0,8.0
112,38.0,2021-08-11,101680.83,18.0,2016000.0,9.0
113,7.0,2021-01-27,191376.32,18.0,3528000.0,13.0
114,51.0,2024-01-21,84500.05,,985600.0,10.0
115,35.0,2022-05-04,218875.35,12.0,2464000.0,20.0
116,13.0,2021-01-12,82159.19,17.0,1428000.0,12.0
117,61.0,2020-12-01,151139.16,9.0,1512000.0,7.0
118,54.0,2023-03-02,176448.56,2.0,336000.0,17.0
119,36.0,2022-05-02,224000.0,18.0,3808000.0,20.0
120,38.0,2024-02-06,115681.41,6.0,560000.0,9.0
121,70.0,2022-11-15,108641.62,16.0,1808800.0,16.0
123,79.0,2020-11-16,183310.21,18.0,3404800.0,6.0
124,19.0,2024-04-30,92213.84,14.0,1411200.0,15.0
125,29.0,2020-11-01,170160.19,12.0,1848000.0,17.0
128,32.0,2023-12-06,144758.72,19.0,2721600.0,7.0
133,98.0,2024-03-24,97574.64,9.0,806400.0,3.0
134,51.0,2023-05-02,107741.13,3.0,201600.0,15.0
142,49.0,2024-05-24,180318.09,17.0,3528000.0,13.0
145,78.0,2020-11-11,136794.23,18.0,2447200.0,14.0
146,82.0,2024-05-10,144109.21,0.0,156800.0,11.0
148,84.0,2023-03-10,126765.34,18.0,2217600.0,4.0
149,62.0,2021-10-30,85902.83,18.0,1546250.92,12.0
150,80.0,2024-01-09,87207.9,21.0,1680000.0,12.0
151,71.0,2021-10-09,170989.53,9.0,1538905.8,17.0
152,14.0,2024-01-11,208430.23,9.0,1764000.0,13.0
153,53.0,2024-08-01,118864.34,5.0,772800.0,14.0
154,90.0,2024-03-23,207435.31,9.0,2240000.0,20.0
156,17.0,2024-09-08,154201.43,,3360000.0,2.0
159,95.0,2023-06-18,110717.1,6.0,504000.0,3.0
160,55.0,2023-10-19,162599.64,4.0,470400.0,11.0
164,57.0,2023-06-25,96094.06,5.0,532000.0,16.0
167,80.0,2024-01-10,106817.1,15.0,1568000.0,9.0
168,37.0,2021-02-05,141345.31,5.0,515200.0,14.0
170,75.0,2024-10-03,183736.97,8.0,1344000.0,2.0
172,68.0,2023-06-10,157598.61,3.0,504000.0,2.0
175,16.0,2023-09-15,172265.8,3.0,672000.0,17.0
176,90.0,2023-12-28,136282.22,6.0,980000.0,1.0
180,80.0,2022-05-22,115386.77,20.0,2021600.0,16.0
182,37.0,2021-08-28,108594.79,13.0,1411732.31,16.0
183,26.0,2022-10-10,154776.32,3.0,627200.0,11.0
186,91.0,2021-02-16,169460.61,,840000.0,2.0
191,92.0,2022-04-10,134999.1,,1932000.0,14.0
192,57.0,2023-04-07,170576.62,9.0,1254400.0,11.0
193,91.0,2023-05-11,100800.0,21.0,2016000.0,3.0
194,80.0,2022-06-13,176375.15,,336000.0,2.0
198,19.0,2023-09-30,148443.11,9.0,1254400.0,11.0
200,82.0,2022-05-14,94861.93,6.0,537600.0,10.0
201,67.0,2022-10-18,128800.0,4.0,644000.0,14.0
202,24.0,2022-01-17,112236.1,8.0,957600.0,16.0
203,59.0,2021-01-07,142599.77,13.0,1612800.0,18.0
204,70.0,2021-12-22,151200.0,16.0,2268000.0,8.0
205,12.0,2022-11-27,223852.34,8.0,1792000.0,20.0
208,46.0,2023-12-10,209254.8,16.0,3360000.0,20.0
209,45.0,2023-06-14,181652.85,,2867200.0,6.0
212,87.0,2021-01-23,211328.06,16.0,3332000.0,13.0
214,34.0,2024-07-14,183081.41,7.0,1254400.0,6.0
216,8.0,2021-01-14,87326.61,19.0,1808800.0,19.0
217,37.0,2022-11-09,213890.42,2.0,224000.0,20.0
220,74.0,2021-02-10,137928.05,11.0,1612800.0,18.0
221,33.0,2022-07-02,137983.87,15.0,2268000.0,8.0
222,6.0,2021-10-21,95264.5,9.0,907200.0,3.0
223,41.0,2021-07-14,138968.39,12.0,1663200.0,8.0
224,32.0,2021-03-04,93527.22,17.0,1612800.0,3.0
